FiscalYear,FiscalYearType,AccountName,AgencyName,OperatingUnit,Category,Sector,Amount
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Yemen,Peace and Security,Counterterrorism,2034000
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Timor-Leste,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,1000000
2015,FY 2015 Request,Development Assistance,DOS and USAID,Ethiopia,Health,Water Supply and Sanitation,4000000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,"Bureau for Policy, Planning and Learning (USAID)","Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,1000000
2012,FY 2012 Actual Base,Global Health Programs - USAID,DOS and USAID,Guatemala,Health,Nutrition,5000000
2010,FY 2010 Actual Base,Global Health Programs - State,DOS and USAID,Indonesia,Health,HIV/AIDS,5233000
2006,FY 2006 Actual Base,Economic Support Fund,DOS and USAID,Bolivia,"Democracy, Human Rights, and Governance",Civil Society,1195000
2012,FY 2012 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Health,Maternal and Child Health,2002000
2009,FY 2009 Actual Base,Economic Support Fund,DOS and USAID,Democratic Republic of Congo,"Democracy, Human Rights, and Governance",Good Governance,6494000
2015,FY 2015 Request,International Military Education and Training,DOS and USAID,Benin,Peace and Security,Stabilization Operations and Security Sector Reform,200000
2015,FY 2015 Request,International Military Education and Training,DOS and USAID,Moldova,Peace and Security,Stabilization Operations and Security Sector Reform,750000
2014,FY 2014 Foreign Military Financing Request - OCO,Economic Support Fund - OCO,DOS and USAID,Pakistan,Economic Development,Agriculture,12000000
2012,FY 2012 Actual Base,International Military Education and Training,DOS and USAID,Ecuador,Peace and Security,Stabilization Operations and Security Sector Reform,281000
2010,FY 2010 Actual Base,Global Health Programs - USAID,DOS and USAID,Guatemala,Program Management,Monitoring and Evaluation,100000
2012,FY 2012 Actual Base,Food for Peace Title II,DOS and USAID,Malawi,Economic Development,Agriculture,9638000
2009,FY 2009 Actual Base,Food for Peace Title II,DOS and USAID,Mauritania,Health,Maternal and Child Health,4000000
2006,FY 2006 Actual Base,Global Health Programs - USAID,DOS and USAID,Africa Regional Office (USAID),Health,Maternal and Child Health,10994000
2012,FY 2012 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Kosovo,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,12019000
2008,FY 2008 Actual Base,Development Assistance,DOS and USAID,Bolivia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,1160000
2007,FY 2007 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Turkmenistan,Peace and Security,Stabilization Operations and Security Sector Reform,250000
2010,FY 2010 Actual Base,Transition Initiatives,DOS and USAID,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)","Democracy, Human Rights, and Governance",Good Governance,5300000
2007,FY 2007 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Russia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,1750000
2014,FY 2014 Foreign Military Financing Request - OCO,Economic Support Fund - OCO,DOS and USAID,Afghanistan,Peace and Security,Counter-Narcotics,50000000
2015,FY 2015 Request,Development Assistance,DOS and USAID,Africa Regional Office (USAID),Economic Development,Private Sector Competitiveness,1000000
2009,FY 2009 Actual Base,Food for Peace Title II,DOS and USAID,Burkina Faso,Health,HIV/AIDS,292000
2013,FY 2013 Actual Base,International Military Education and Training,DOS and USAID,Czech Republic,Peace and Security,Stabilization Operations and Security Sector Reform,1752000
2010,FY 2010 Actual Base,Economic Support Fund,DOS and USAID,West Africa Regional Office (USAID),Program Management,Monitoring and Evaluation,37000
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Ukraine,Health,Tuberculosis,1801000
2007,FY 2007 Actual Supp,Economic Support Fund,DOS and USAID,Vietnam,Environment,Environment,1500000
2008,FY 2008 Actual Base,Peacekeeping Operations,DOS and USAID,Multinational Force and Observers (DOS),Peace and Security,Conflict Mitigation and Reconciliation,24798000
2009,FY 2009 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Afghanistan,Peace and Security,Combating Weapons of Mass Destruction (WMD),750000
2007,FY 2007 Actual Base,Development Assistance,DOS and USAID,Africa Regional Office (USAID),Education and Social Services,Social Services,4450000
2013,FY 2013 Actual Base,Economic Support Fund,DOS and USAID,Western Hemisphere Regional Office (DOS),Economic Development,Private Sector Competitiveness,12181000
2007,FY 2007 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Montenegro,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,400000
2009,FY 2009 Actual Base,Development Assistance,DOS and USAID,"Bureau for Economic Growth, Agriculture and Trade (USAID)",Peace and Security,Conflict Mitigation and Reconciliation,1243000
2007,FY 2007 Actual Base,Development Assistance,DOS and USAID,Burundi,Economic Development,Trade and Investment,223000
2014,FY 2014 Request,Development Assistance,DOS and USAID,Rwanda,Economic Development,Agriculture,37000000
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Democratic Republic of Congo,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2660000
2011,FY 2011 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Humanitarian Assistance,"Protection, Assistance and Solutions",2910000
2007,FY 2007 Actual Base,Economic Support Fund,DOS and USAID,East Asia and Pacific Regional Office (DOS),Education and Social Services,Social Services,100000
2006,FY 2006 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,The Bahamas,Peace and Security,Counter-Narcotics,495000
2011,FY 2011 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,"Democracy, Human Rights, and Governance",Civil Society,846000
2008,FY 2008 Actual Base,Economic Support Fund,DOS and USAID,Jordan,Health,Family Planning and Reproductive Health,24000000
2008,FY 2008 Actual Base,Economic Support Fund,DOS and USAID,Jordan,Economic Development,Agriculture,2500000
2008,FY 2008 Actual Base,Global Health Programs - USAID,DOS and USAID,Haiti,Health,Tuberculosis,1289000
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,"Bureau for Economic Growth, Agriculture and Trade (USAID)",Economic Development,Economic Opportunity,5250000
2010,FY 2010 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Central Asia Regional Office (USAID),Peace and Security,Counter-Narcotics,750000
2012,FY 2012 Actual Base,Food for Peace Title II,DOS and USAID,Niger,Health,Nutrition,11991000
2015,FY 2015 Request,Economic Support Fund,DOS and USAID,Middle East Regional Office (USAID),"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,1500000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,Albania,"Democracy, Human Rights, and Governance",Civil Society,722000
2010,FY 2010 Actual Base,Migration and Refugee Assistance,DOS and USAID,"Bureau of Population, Refugees, and Migration (DOS)",Program Management,Direct Administrative Costs,26000000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Barbados and Eastern Caribbean (DOS & USAID),"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,1440000
2009,FY 2009 Actual Base,Economic Support Fund,DOS and USAID,Democratic Republic of Congo,Education and Social Services,Social Services,8750000
2007,FY 2007 Actual Base,International Military Education and Training,DOS and USAID,Indonesia,Peace and Security,Stabilization Operations and Security Sector Reform,1398000
2010,FY 2010 Actual Base,Foreign Military Financing,DOS and USAID,Mexico,Peace and Security,Stabilization Operations and Security Sector Reform,265250000
2012,FY 2012 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Tajikistan,Economic Development,Trade and Investment,200000
2010,FY 2010 Actual Base,Economic Support Fund,DOS and USAID,Democratic Republic of Congo,Program Management,Direct Administrative Costs,2997000
2012,FY 2012 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,"Bureau of Arms Control, Verification, and Compliance (DOS)",Peace and Security,Combating Weapons of Mass Destruction (WMD),40500000
2008,FY 2008 Actual Base,Development Assistance,DOS and USAID,Tanzania,Economic Development,Economic Opportunity,760000
2015,FY 2015 Request,Development Assistance,DOS and USAID,"Bureau for Economic Growth, Agriculture and Trade (USAID)",Economic Development,Financial Sector,3827000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Haiti,Economic Development,Economic Opportunity,2700000
2007,FY 2007 Actual Base,Global Health Programs - USAID,DOS and USAID,Latin America and Caribbean Regional Office (USAID),Program Management,Monitoring and Evaluation,55000
2015,FY 2015 Request,Development Assistance,DOS and USAID,Guatemala,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,11952000
2011,FY 2011 Actual Base,N/A,DoD,Haiti,Peace and Security,Counter-Narcotics,110000
2009,FY 2009 Actual Base,Economic Support Fund,DOS and USAID,Indonesia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,7427000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Haiti,Peace and Security,Conflict Mitigation and Reconciliation,1800000
2007,FY 2007 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Dominican Republic,Peace and Security,Counterterrorism,500000
2014,FY 2014 Request,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Thailand,Peace and Security,Combating Weapons of Mass Destruction (WMD),670000
2009,FY 2009 Actual Base,Global Health Programs - USAID,DOS and USAID,Jamaica,Health,HIV/AIDS,1200000
2010,FY 2010 Actual Base,International Military Education and Training,DOS and USAID,Kenya,Peace and Security,Stabilization Operations and Security Sector Reform,959000
2013,FY 2013 Actual Base,Development Assistance,DOS and USAID,"Bureau for Economic Growth, Agriculture and Trade (USAID)",Environment,Environment,86689000
2013,FY 2013 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Kyrgyz Republic,Peace and Security,Stabilization Operations and Security Sector Reform,800000
2008,FY 2008 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Thailand,Peace and Security,Stabilization Operations and Security Sector Reform,1686000
2010,FY 2010 Actual Base,Global Health Programs - USAID,DOS and USAID,Nicaragua,Health,Family Planning and Reproductive Health,2449000
2012,FY 2012 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Central Asia Regional Office (USAID),"Democracy, Human Rights, and Governance",Civil Society,1276000
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Office of the Coordinator for Counterterrorism (DOS),Peace and Security,Counterterrorism,50568000
2007,FY 2007 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bosnia and Herzegovina,Economic Development,Private Sector Competitiveness,2908000
2013,FY 2013 Actual Base,International Military Education and Training,DOS and USAID,Mongolia,Peace and Security,Stabilization Operations and Security Sector Reform,755000
2009,FY 2009 Actual Base,Economic Support Fund,DOS and USAID,Jordan,Health,Family Planning and Reproductive Health,14650000
2010,FY 2010 Actual Base,Economic Support Fund,DOS and USAID,Middle East Partnership Initiative (DOS),Program Management,Direct Administrative Costs,3200000
2007,FY 2007 Actual Base,International Military Education and Training,DOS and USAID,Armenia,Peace and Security,Stabilization Operations and Security Sector Reform,904000
2012,FY 2012 Actual Base,Global Health Programs - USAID,DOS and USAID,Ukraine,Health,Tuberculosis,1900000
2012,FY 2012 Actual Base,Global Health Programs - USAID,DOS and USAID,Timor-Leste,Health,Maternal and Child Health,1000000
2014,FY 2014 Request,Development Assistance,DOS and USAID,"Bureau for Economic Growth, Agriculture and Trade (USAID)",Economic Development,Private Sector Competitiveness,4614000
2007,FY 2007 Actual Base,Food for Peace Title II,DOS and USAID,Central African Republic,Humanitarian Assistance,"Protection, Assistance and Solutions",14149000
2013,FY 2013 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Liberia,Peace and Security,Stabilization Operations and Security Sector Reform,9970000
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,4006000
2007,FY 2007 Actual Base,Economic Support Fund,DOS and USAID,Paraguay,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,500000
2012,FY 2012 Actual Base,Development Assistance,DOS and USAID,Thailand,Peace and Security,Conflict Mitigation and Reconciliation,701000
2013,FY 2013 Actual Base,Development Assistance,DOS and USAID,Africa Regional Office (USAID),"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,500000
2006,FY 2006 Actual Base,Democracy Fund,DOS and USAID,"Bureau of Democracy, Human Rights and Labor (DOS)","Democracy, Human Rights, and Governance",Good Governance,4747000
2009,FY 2009 Actual Base,Economic Support Fund,DOS and USAID,West Bank and Gaza,Education and Social Services,Higher Education,9350000
2015,FY 2015 Request,Food for Peace Title II,DOS and USAID,Zimbabwe,Environment,Environment,767000
