FiscalYear,QTR,FiscalYearType,AccountName,AgencyName,OperatingUnit,BenefitingCountry,Category,Sector,Amount
2014,2,Obligations,N/A,USAID,South Africa Region,South Africa Region,Environment,Natural Resources and Biodiversity,379616
2012,2,Obligations,Development Assistance,USAID,USAID Legislative and Public Affairs (LPA),Worldwide,Program Management,Direct Administrative Costs,980343
2011,4,Obligations,N/A,MCC,Ukraine,Ukraine,Multi-Sector,Multi-Sector - Unspecified,-143666.51
2013,3,Obligations,Global Health & Child Survival,USAID,Mali,Mali,Health,Family Planning and Reproductive Health,2144339
2009,2,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Ukraine,Ukraine,Economic Development,Financial Sector,42361.07
2014,2,Obligations,Economic Support Fund,USAID,Egypt,Egypt,Economic Development,Private Sector Competitiveness,4309480.7
2012,4,Obligations,N/A,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of","Democracy, Human Rights, and Governance",Civil Society,413290
2010,2,Obligations,Millennium Challenge Corporation,USAID,USAID West Africa Regional,West Africa Region,Education and Social Services,Basic Education,-199
2011,2,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Armenia,Armenia,Economic Development,Private Sector Competitiveness,-11335.7
2013,3,Obligations,N/A,USAID,Senegal,Senegal,Environment,Clean Productive Environment,769000
2010,2,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Zimbabwe,Program Management,Direct Administrative Costs,226583.88
2009,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Tajikistan,Tajikistan,Education and Social Services,Basic Education,1000000
2012,4,Obligations,Global Health & Child Survival,USAID,Ukraine,Ukraine,Health,HIV/AIDS,7624516.56
2012,4,Obligations,Development Assistance,USAID,Nicaragua,Nicaragua,"Democracy, Human Rights, and Governance",Civil Society,586387
2013,2,Obligations,N/A,USAID,Angola,Angola,Economic Development,Agriculture,-494
2007,2,Obligations,N/A,MCC,Mali,Mali,Economic Development,Agriculture,4596000
2013,2,Obligations,N/A,USAID,Bolivia,Bolivia,Program Management,Monitoring and Evaluation,-2898.24
2011,1,Obligations,Global Health & Child Survival,USAID,Ethiopia,Ethiopia,Health,Family Planning and Reproductive Health,500000
2013,4,Obligations,N/A,USAID,Kenya,Kenya,Education and Social Services,Social Assistance,52000
2009,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Kyrgyz Republic,Kosovo,Education and Social Services,Basic Education,66365.36
2012,3,Obligations,Economic Support Fund,USAID,USAID Latin America and Caribbean Regional,Latin America and Caribbean Region,Program Management,Direct Administrative Costs,8737.940000000001
2010,4,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Somalia,Humanitarian Assistance,"Protection, Assistance and Solutions",1430889
2010,3,Obligations,Economic Support Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",West Bank and Gaza,Program Management,Direct Administrative Costs,3695.45
2011,1,Obligations,Global Health & Child Survival,USAID,Peru,Peru,Health,Family Planning and Reproductive Health,300000
2013,3,Obligations,International Disaster Assistance,USAID,Philippines,Philippines,Humanitarian Assistance,Disaster Readiness,2050108
2012,3,Obligations,Development Assistance,USAID,Somalia,Somalia,Education and Social Services,Social Assistance,40000
2010,4,Obligations,Democracy Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Colombia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,900000
2011,4,Obligations,Global Health & Child Survival,USAID,Afghanistan,Afghanistan,Health,Maternal and Child Health,3650000
2010,1,Obligations,Operating Expenses,USAID,Cambodia,Worldwide,Program Management,Direct Administrative Costs,284046.59
2011,1,Obligations,Global Health & Child Survival,USAID,Kenya,Kenya,Health,Family Planning and Reproductive Health,400000
2010,3,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",India,Humanitarian Assistance,Disaster Readiness,199281
2012,3,Obligations,Development Assistance,USAID,USAID Latin America and Caribbean Regional,Latin America and Caribbean Region,Environment,Clean Productive Environment,500000
2013,1,Obligations,Global Health & Child Survival,USAID,Tanzania,Tanzania,Health,HIV/AIDS,12467218.14
2010,3,Obligations,Development Assistance,USAID,USAID Latin America and Caribbean Regional,Panama,Environment,Natural Resources and Biodiversity,7000
2009,2,Obligations,Development Assistance,USAID,Nicaragua,Nicaragua,Economic Development,Trade and Investment,2620
2009,4,Obligations,Operating Expenses,USAID,Sudan,Worldwide,Program Management,Direct Administrative Costs,454477
2007,4,Obligations,N/A,MCC,Mali,Mali,Economic Development,Infrastructure,86631177
2009,3,Obligations,Development Assistance,USAID,Bangladesh,Bangladesh,Humanitarian Assistance,Disaster Readiness,-2607.99
2011,3,Obligations,Development Credit Authority-Financ Acct,USAID,"USAID Economic Growth, Education and Environment",Moldova,Economic Development,Financial Sector,-631.78
2010,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Kosovo,Kosovo,Economic Development,Agriculture,3437025
2012,1,Obligations,Global Health & Child Survival,USAID,Madagascar,Madagascar,Health,Family Planning and Reproductive Health,-275000
2010,4,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Eastern European Region,Program Management,Direct Administrative Costs,41473.35
2012,,Obligations,N/A,USADF,Mali,Mali,,Agriculture,654424
2010,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Macedonia,Macedonia,"Democracy, Human Rights, and Governance",Civil Society,243000
2009,4,Obligations,Global Health & Child Survival,USAID,Uzbekistan,Uzbekistan,Health,Tuberculosis,279895.26
2010,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Tajikistan,Tajikistan,Health,Other Public Health Threats,1876000
2009,3,Obligations,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Yemen,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,18408
2011,,Obligations,N/A,IAF,Worldwide,Worldwide,,Direct Administrative Costs,8446021.460000001
2013,2,Obligations,Economic Support Fund,USAID,Iraq,Iraq,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,10600000
2012,4,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Tunisia,Program Management,Monitoring and Evaluation,72292.95
2010,3,Obligations,Operating Expenses,USAID,Morocco,Worldwide,Program Management,Direct Administrative Costs,669468.5500000001
2011,3,Obligations,Operating Expenses,USAID,USAID Office of Development Partners,Worldwide,Program Management,Direct Administrative Costs,949845.23
2013,2,Obligations,N/A,USAID,Timor-Leste,Timor-Leste,Environment,Natural Resources and Biodiversity,229362.58
2010,2,Obligations,Development Credit Authority-Financ Acct,USAID,"USAID Economic Growth, Education and Environment",Jordan,Economic Development,Financial Sector,302798.02
2013,4,Obligations,Economic Support Fund,USAID,Jordan,Jordan,Education and Social Services,Basic Education,8950966.5
2012,4,Obligations,Development Assistance,USAID,Cambodia,Cambodia,Economic Development,Agriculture,7677120
2010,4,Obligations,Development Assistance,USAID,Mali,Mali,"Democracy, Human Rights, and Governance",Good Governance,3427000
2009,3,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Joint Eurasia Regional,Eurasia Region,Economic Development,Financial Sector,9
2011,2,Obligations,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance","Congo, Democratic Republic of",Education and Social Services,Social Services,1600000
2009,4,Obligations,Development Assistance,USAID,USAID Latin America and Caribbean Regional,Central American Region,Environment,Clean Productive Environment,33223.6
2013,3,Obligations,International Disaster Assistance,USAID,West Africa Region,West Africa Region,Humanitarian Assistance,"Protection, Assistance and Solutions",3533575
2013,4,Obligations,Commodity Credit Corp Title II and III,USAID,West Africa Region,West Africa Region,Economic Development,Agriculture,2000000
2012,4,Obligations,Development Credit Authority-Financ Acct,USAID,"USAID Economic Growth, Education and Environment",Kenya,Economic Development,Financial Sector,295654.67
2014,2,Obligations,N/A,USAID,Uganda,Uganda,Program Management,Direct Administrative Costs,1569066.11
2013,1,Obligations,N/A,USAID,Mali,Mali,Health,Water Supply and Sanitation,1450000
2011,4,Obligations,N/A,MCC,Mali,Mali,Economic Development,Infrastructure,-911.3
2010,4,Obligations,Global Health & Child Survival,USAID,Madagascar,Madagascar,Health,HIV/AIDS,1940679
2013,2,Obligations,N/A,USAID,Kenya,Kenya,"Democracy, Human Rights, and Governance",Civil Society,802058.96
2012,3,Obligations,Operating Expenses,USAID,USAID Inspector General Operating Expense,Worldwide,Program Management,Direct Administrative Costs,9797342.5
2010,4,Obligations,Global Health & Child Survival,USAID,Djibouti,Djibouti,Health,Maternal and Child Health,146000
2012,3,Obligations,Global Health & Child Survival,USAID,USAID Africa Regional,Africa Region,Program Management,Direct Administrative Costs,66512.81
2013,3,Obligations,N/A,USAID,Zambia,Zambia,Program Management,Monitoring and Evaluation,22342.53
2009,4,Obligations,Development Assistance,USAID,USAID Office of Development Partners,Egypt,Program Management,Monitoring and Evaluation,-997.55
2011,2,Obligations,Economic Support Fund,USAID,Peru,Peru,Economic Development,Private Sector Competitiveness,200000
2010,4,Obligations,Development Assistance,USAID,Yemen,Yemen,"Democracy, Human Rights, and Governance",Civil Society,2537500
2009,3,Obligations,Operating Expenses,USAID,Pakistan,Worldwide,Program Management,Direct Administrative Costs,3461921.74
2011,4,Obligations,Development Assistance,USAID,Indonesia,Indonesia,Economic Development,Economic Opportunity,41669
2014,2,Obligations,Development Fund for Africa,USAID,Mali,Mali,Program Management,Direct Administrative Costs,-904.39
2013,2,Obligations,N/A,USAID,Afghanistan,Afghanistan,Program Management,Direct Administrative Costs,-38978.38
2013,2,Obligations,N/A,USAID,El Salvador,El Salvador,Education and Social Services,Basic Education,1491700.78
2012,,Obligations,N/A,Treasury,Uganda,N/A,Economic Development,Financial Sector,387040.64
2012,1,Obligations,Development Assistance,USAID,Cambodia,Cambodia,Economic Development,Economic Opportunity,500000
2009,3,Obligations,Economic Support Fund,USAID,Jordan,Jordan,"Democracy, Human Rights, and Governance",Civil Society,24772
2013,4,Obligations,N/A,USAID,Uganda,Uganda,Environment,Environment,-7140.25
2013,2,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Moldova,Moldova,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,-28112.5
2010,4,Obligations,Global Health & Child Survival,USAID,USAID Africa Regional,Africa Region,Health,Maternal and Child Health,10660768
2010,,Obligations,N/A,USADF,Uganda,Uganda,,Economic Opportunity,184487
2013,2,Obligations,Economic Support Fund,USAID,Nepal,Nepal,Economic Development,Economic Opportunity,1312.8
2009,4,Obligations,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,"Democracy, Human Rights, and Governance",Civil Society,1353183.85
2011,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Joint Eurasia Regional,Eurasia Region,Health,Other Public Health Threats,-379.23
2012,4,Obligations,Development Assistance,USAID,USAID Africa Regional,Liberia,Program Management,Monitoring and Evaluation,400000
2008,3,Obligations,N/A,MCC,Tanzania,Tanzania,Multi-Sector,Multi-Sector - Unspecified,1096639.45
2011,3,Obligations,Economic Support Fund,USAID,Burma,Burma,"Democracy, Human Rights, and Governance",Civil Society,412958.75
2012,2,Obligations,Gifts and Donations,USAID,Uganda,Uganda,Health,Family Planning and Reproductive Health,6404000
2012,2,Obligations,N/A,MCC,Lesotho,Lesotho,Health,Water Supply and Sanitation,.02
2009,2,Obligations,Development Assistance,USAID,USAID Operating Expense,Worldwide,"Democracy, Human Rights, and Governance",Good Governance,2.27
2010,1,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Armenia,Armenia,Health,Family Planning and Reproductive Health,100000
2009,3,Obligations,Operating Expenses,USAID,Egypt,Worldwide,Program Management,Direct Administrative Costs,2975274.99
2006,2,Obligations,N/A,MCC,Cape Verde,Cape Verde,Program Management,Direct Administrative Costs,13269650
2014,2,Obligations,International Disaster Assistance,USAID,Haiti,Haiti,Humanitarian Assistance,Disaster Readiness,711526.77
2013,1,Obligations,Global HIV/AIDS Initiative,USAID,Kenya,Kenya,Program Management,Direct Administrative Costs,-628.43
2014,2,Obligations,Economic Support Fund,USAID,Pakistan,Pakistan,"Democracy, Human Rights, and Governance",Civil Society,7354500
2012,4,Obligations,Global Health & Child Survival,USAID,Senegal,Senegal,Health,Maternal and Child Health,7793000
2010,2,Obligations,Development Assistance,USAID,USAID Office of Development Partners,India,Health,Maternal and Child Health,-183748
2009,2,Obligations,Development Assistance,USAID,Senegal,Senegal,Health,Water Supply and Sanitation,-245.14
2012,4,Obligations,Global Health & Child Survival,USAID,Burkina Faso,Burkina Faso,Health,Malaria,8625000
2012,4,Obligations,Economic Support Fund,USAID,Afghanistan,Afghanistan,Economic Development,Trade and Investment,16780000
2011,1,Obligations,Economic Support Fund,USAID,Iraq,Iraq,Economic Development,Economic Opportunity,20000000
2011,4,Obligations,Economic Support Fund,USAID,Haiti,Haiti,Program Management,Monitoring and Evaluation,1550000
2012,2,Obligations,N/A,MCC,Honduras,Honduras,Multi-Sector,Multi-Sector - Unspecified,-16657.49
2012,3,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Turkmenistan,Turkmenistan,Program Management,Direct Administrative Costs,488948.53
2009,1,Obligations,Economic Support Fund,USAID,West Bank and Gaza,West Bank and Gaza,Humanitarian Assistance,"Protection, Assistance and Solutions",12732.81
2011,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Belarus,Belarus,Health,Tuberculosis,250000
2012,2,Obligations,Operating Expenses,USAID,Kosovo,Worldwide,Program Management,Direct Administrative Costs,1181573.93
2011,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Moldova,Moldova,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2180000
2013,2,Obligations,Economic Support Fund,USAID,China,China,Program Management,Direct Administrative Costs,27174
2009,4,Obligations,Development Assistance,USAID,El Salvador,El Salvador,Education and Social Services,Basic Education,4210000
2013,1,Obligations,Economic Support Fund,USAID,Burma,Burma,Education and Social Services,Basic Education,1784000
